WP, 15, 2013090118, 03, HWRF, 000, 260N, 1248E,  29,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0,  60
WP, 15, 2013090118, 03, HWRF, 006, 267N, 1251E,  44,  998, XX,  34, NEQ, 0074, 0082, 0082, 0082,    0,    0,  48
WP, 15, 2013090118, 03, HWRF, 012, 272N, 1254E,  41,  991, XX,  34, NEQ, 0094, 0093, 0073, 0075,    0,    0,  30
WP, 15, 2013090118, 03, HWRF, 018, 276N, 1259E,  47,  988, XX,  34, NEQ, 0086, 0094, 0088, 0137,    0,    0,  27
WP, 15, 2013090118, 03, HWRF, 024, 282N, 1262E,  62,  980, XX,  34, NEQ, 0091, 0095, 0072, 0132,    0,    0,  23
WP, 15, 2013090118, 03, HWRF, 024, 282N, 1262E,  62,  980, XX,  50, NEQ, 0065, 0050, 0000, 0040,    0,    0,  23
WP, 15, 2013090118, 03, HWRF, 030, 286N, 1264E,  70,  977, XX,  34, NEQ, 0093, 0100, 0146, 0138,    0,    0,  27
WP, 15, 2013090118, 03, HWRF, 030, 286N, 1264E,  70,  977, XX,  50, NEQ, 0036, 0049, 0038, 0058,    0,    0,  27
WP, 15, 2013090118, 03, HWRF, 030, 286N, 1264E,  70,  977, XX,  64, NEQ, 0000, 0000, 0000, 0034,    0,    0,  27
WP, 15, 2013090118, 03, HWRF, 036, 288N, 1267E,  71,  975, XX,  34, NEQ, 0195, 0091, 0112, 0193,    0,    0,  20
WP, 15, 2013090118, 03, HWRF, 036, 288N, 1267E,  71,  975, XX,  50, NEQ, 0024, 0035, 0039, 0047,    0,    0,  20
WP, 15, 2013090118, 03, HWRF, 036, 288N, 1267E,  71,  975, XX,  64, NEQ, 0000, 0000, 0023, 0029,    0,    0,  20
WP, 15, 2013090118, 03, HWRF, 042, 290N, 1271E,  69,  972, XX,  34, NEQ, 0198, 0098, 0116, 0164,    0,    0,  18
WP, 15, 2013090118, 03, HWRF, 042, 290N, 1271E,  69,  972, XX,  50, NEQ, 0065, 0032, 0049, 0050,    0,    0,  18
WP, 15, 2013090118, 03, HWRF, 042, 290N, 1271E,  69,  972, XX,  64, NEQ, 0023, 0000, 0032, 0032,    0,    0,  18
WP, 15, 2013090118, 03, HWRF, 048, 290N, 1272E,  72,  971, XX,  34, NEQ, 0168, 0082, 0108, 0151,    0,    0,  19
WP, 15, 2013090118, 03, HWRF, 048, 290N, 1272E,  72,  971, XX,  50, NEQ, 0049, 0028, 0056, 0063,    0,    0,  19
WP, 15, 2013090118, 03, HWRF, 048, 290N, 1272E,  72,  971, XX,  64, NEQ, 0025, 0000, 0037, 0040,    0,    0,  19
WP, 15, 2013090118, 03, HWRF, 054, 291N, 1276E,  64,  975, XX,  34, NEQ, 0113, 0089, 0117, 0129,    0,    0,  31
WP, 15, 2013090118, 03, HWRF, 054, 291N, 1276E,  64,  975, XX,  50, NEQ, 0052, 0031, 0044, 0043,    0,    0,  31
WP, 15, 2013090118, 03, HWRF, 054, 291N, 1276E,  64,  975, XX,  64, NEQ, 0000, 0000, 0032, 0000,    0,    0,  31
WP, 15, 2013090118, 03, HWRF, 060, 293N, 1279E,  60,  975, XX,  34, NEQ, 0095, 0089, 0104, 0109,    0,    0,  42
WP, 15, 2013090118, 03, HWRF, 060, 293N, 1279E,  60,  975, XX,  50, NEQ, 0040, 0043, 0045, 0054,    0,    0,  42
WP, 15, 2013090118, 03, HWRF, 066, 298N, 1282E,  68,  977, XX,  34, NEQ, 0127, 0097, 0138, 0090,    0,    0,  22
WP, 15, 2013090118, 03, HWRF, 066, 298N, 1282E,  68,  977, XX,  50, NEQ, 0031, 0030, 0022, 0037,    0,    0,  22
WP, 15, 2013090118, 03, HWRF, 066, 298N, 1282E,  68,  977, XX,  64, NEQ, 0000, 0000, 0000, 0027,    0,    0,  22
WP, 15, 2013090118, 03, HWRF, 072, 302N, 1282E,  66,  975, XX,  34, NEQ, 0124, 0139, 0056, 0092,    0,    0,   8
WP, 15, 2013090118, 03, HWRF, 072, 302N, 1282E,  66,  975, XX,  50, NEQ, 0024, 0000, 0011, 0044,    0,    0,   8
WP, 15, 2013090118, 03, HWRF, 072, 302N, 1282E,  66,  975, XX,  64, NEQ, 0000, 0000, 0000, 0010,    0,    0,   8
