EP, 97, 2014080206, 03, COTC, 090, 118N, 1270W,  26, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 100
EP, 97, 2014080206, 03, COTC, 096, 116N, 1283W,  25, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 047
EP, 97, 2014080206, 03, COTC, 102, 120N, 1302W,  32, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 064
EP, 97, 2014080206, 03, COTC, 108, 123N, 1320W,  33, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0115,    0,    0, 106
EP, 97, 2014080206, 03, COTC, 114, 123N, 1338W,  38, 1010, XX,  34, NEQ, 0019, 0014, 0000, 0000,    0,    0, 015
EP, 97, 2014080206, 03, COTC, 120, 121N, 1356W,  36, 1009, XX,  34, NEQ, 0031, 0016, 0000, 0000,    0,    0, 013
EP, 97, 2014080206, 03, GFDN,  90, 121N, 1253W,  80,  969
EP, 97, 2014080206, 03, GFDN,  96, 123N, 1266W,  86,  968
EP, 97, 2014080206, 03, GFDN, 102, 125N, 1280W,  88,  965
EP, 97, 2014080206, 03, GFDN, 108, 128N, 1293W,  87,  960
EP, 97, 2014080206, 03, GFDN, 114, 131N, 1306W,  95,  954
EP, 97, 2014080206, 03, GFDN, 120, 135N, 1319W,  94,  955
EP, 97, 2014080206, 03, GFDN, 126, 139N, 1333W, 103,  954
EP, 97, 2014080206, 03, NVGM, 090, 140N, 1261W,  37, 1003, XX,  34, NEQ, 0100, 0000, 0000, 0000
EP, 97, 2014080206, 03, NVGM, 096, 142N, 1276W,  39, 1005, XX,  34, NEQ, 0154, 0091, 0000, 0000
EP, 97, 2014080206, 03, NVGM, 102, 145N, 1290W,  39, 1003, XX,  34, NEQ, 0107, 0107, 0000, 0100
EP, 97, 2014080206, 03, NVGM, 108, 148N, 1304W,  46, 1004, XX,  34, NEQ, 0154, 0130, 0000, 0092
EP, 97, 2014080206, 03, NVGM, 114, 151N, 1319W,  43, 1002, XX,  34, NEQ, 0151, 0092, 0000, 0098
EP, 97, 2014080206, 03, NVGM, 120, 156N, 1334W,  51, 1002, XX,  34, NEQ, 0140, 0153, 0054, 0115
EP, 97, 2014080206, 03, NVGM, 120, 156N, 1334W,  51, 1002, XX,  50, NEQ, 0080, 0000, 0000, 0000
EP, 97, 2014080206, 03, NVGM, 126, 161N, 1350W,  51, 1001, XX,  34, NEQ, 0169, 0120, 0077, 0120
EP, 97, 2014080206, 03, NVGM, 126, 161N, 1350W,  51, 1001, XX,  50, NEQ, 0069, 0000, 0000, 0058
EP, 97, 2014080206, 03, NVGM, 132, 165N, 1366W,  55, 1002, XX,  34, NEQ, 0214, 0055, 0067, 0185
EP, 97, 2014080206, 03, NVGM, 132, 165N, 1366W,  55, 1002, XX,  50, NEQ, 0050, 0054, 0000, 0084
EP, 97, 2014080206, 03, NVGM, 138, 168N, 1384W,  56, 1000, XX,  34, NEQ, 0156, 0122, 0118, 0185
EP, 97, 2014080206, 03, NVGM, 138, 168N, 1384W,  56, 1000, XX,  50, NEQ, 0068, 0066, 0000, 0051
EP, 97, 2014080206, 03, NVGM, 144, 170N, 1400W,  62, 1001, XX,  34, NEQ, 0075, 0111, 0080, 0152
EP, 97, 2014080206, 03, NVGM, 144, 170N, 1400W,  62, 1001, XX,  50, NEQ, 0075, 0000, 0000, 0080
EP, 97, 2014080206, 03, NVGM, 150, 171N, 1416W,  66, 1000, XX,  34, NEQ, 0125, 0108, 0077, 0152
EP, 97, 2014080206, 03, NVGM, 150, 171N, 1416W,  66, 1000, XX,  50, NEQ, 0118, 0107, 0000, 0074
EP, 97, 2014080206, 03, NVGM, 150, 171N, 1416W,  66, 1000, XX,  64, NEQ, 0052, 0000, 0000, 0000
EP, 97, 2014080206, 03, NVGM, 156, 174N, 1431W,  69, 1001, XX,  34, NEQ, 0215, 0115, 0098, 0180
EP, 97, 2014080206, 03, NVGM, 156, 174N, 1431W,  69, 1001, XX,  50, NEQ, 0082, 0070, 0000, 0107
EP, 97, 2014080206, 03, NVGM, 156, 174N, 1431W,  69, 1001, XX,  64, NEQ, 0058, 0000, 0000, 0000
EP, 97, 2014080206, 03, NVGM, 162, 176N, 1448W,  65, 1000, XX,  34, NEQ, 0151, 0108, 0087, 0095
EP, 97, 2014080206, 03, NVGM, 162, 176N, 1448W,  65, 1000, XX,  50, NEQ, 0134, 0060, 0045, 0095
EP, 97, 2014080206, 03, NVGM, 162, 176N, 1448W,  65, 1000, XX,  64, NEQ, 0050, 0000, 0000, 0095
EP, 97, 2014080206, 03, NVGM, 168, 177N, 1464W,  67, 1001, XX,  34, NEQ, 0174, 0037, 0080, 0203
EP, 97, 2014080206, 03, NVGM, 168, 177N, 1464W,  67, 1001, XX,  50, NEQ, 0125, 0064, 0000, 0081
EP, 97, 2014080206, 03, NVGM, 168, 177N, 1464W,  67, 1001, XX,  64, NEQ, 0056, 0000, 0000, 0048
EP, 97, 2014080206, 03, NVGM, 174, 179N, 1479W,  69, 1000, XX,  34, NEQ, 0196, 0122, 0095, 0174
EP, 97, 2014080206, 03, NVGM, 174, 179N, 1479W,  69, 1000, XX,  50, NEQ, 0094, 0068, 0000, 0073
EP, 97, 2014080206, 03, NVGM, 174, 179N, 1479W,  69, 1000, XX,  64, NEQ, 0057, 0000, 0000, 0000
EP, 97, 2014080206, 03, NVGM, 180, 180N, 1495W,  66, 1000, XX,  34, NEQ, 0184, 0146, 0078, 0170
EP, 97, 2014080206, 03, NVGM, 180, 180N, 1495W,  66, 1000, XX,  50, NEQ, 0089, 0000, 0000, 0140
EP, 97, 2014080206, 03, NVGM, 180, 180N, 1495W,  66, 1000, XX,  64, NEQ, 0049, 0000, 0000, 0000
EP, 97, 2014080212, 03, GFDN,  90, 111N, 1279W,  72,  981
EP, 97, 2014080212, 03, GFDN,  96, 114N, 1291W,  73,  981
EP, 97, 2014080212, 03, GFDN, 102, 119N, 1304W,  82,  978
EP, 97, 2014080212, 03, GFDN, 108, 123N, 1319W,  81,  972
EP, 97, 2014080212, 03, GFDN, 114, 126N, 1332W,  84,  971
EP, 97, 2014080212, 03, GFDN, 120, 130N, 1346W,  84,  971
EP, 97, 2014080212, 03, GFDN, 126, 133N, 1360W,  81,  972
EP, 97, 2014080212, 03, NG01, 090, 149N, 1290W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG01, 096, 151N, 1303W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG01, 102, 156N, 1312W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG01, 108, 161N, 1322W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG01, 114, 167N, 1334W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG01, 120, 173N, 1344W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG01, 126, 180N, 1356W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG01, 132, 182N, 1370W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG01, 138, 184N, 1384W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG01, 144, 189N, 1396W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG01, 150, 192N, 1408W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
