WP, 23, 2015010106, 03, COTC, 000,  64N, 1184E,  20, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 058
WP, 23, 2015010106, 03, COTC, 006,  60N, 1180E,  29, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 095
WP, 23, 2015010106, 03, COTC, 012,  64N, 1168E,  35, 1006, XX,  34, NEQ, 0066, 0000, 0000, 0000,    0,    0, 065
WP, 23, 2015010106, 03, COTC, 018,  68N, 1157E,  34, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 017
WP, 23, 2015010106, 03, COTC, 024,  71N, 1142E,  59, 1005, XX,  34, NEQ, 0105, 0000, 0000, 0038,    0,    0, 016
WP, 23, 2015010106, 03, COTC, 024,  71N, 1142E,  59, 1005, XX,  50, NEQ, 0022, 0000, 0000, 0016,    0,    0, 016
WP, 23, 2015010106, 03, COTC, 030,  70N, 1127E,  33, 1004, XX,  34, NEQ, 0128, 0000, 0000, 0135,    0,    0, 021
WP, 23, 2015010106, 03, COTC, 036,  75N, 1109E,  44, 1006, XX,  34, NEQ, 0114, 0000, 0000, 0131,    0,    0, 061
WP, 23, 2015010106, 03, COTC, 042,  75N, 1094E,  45, 1005, XX,  34, NEQ, 0145, 0000, 0000, 0073,    0,    0, 061
WP, 23, 2015010106, 03, COTC, 048,  70N, 1074E,  50, 1003, XX,  34, NEQ, 0154, 0005, 0035, 0132,    0,    0, 014
WP, 23, 2015010106, 03, COTC, 054,  64N, 1059E,  40, 1004, XX,  34, NEQ, 0154, 0000, 0000, 0106,    0,    0, 065
WP, 23, 2015010106, 03, COTC, 060,  59N, 1043E,  42, 1004, XX,  34, NEQ, 0063, 0000, 0000, 0072,    0,    0, 047
WP, 23, 2015010106, 03, COTC, 066,  59N, 1029E,  43, 1004, XX,  34, NEQ, 0044, 0000, 0000, 0044,    0,    0, 022
WP, 23, 2015010106, 03, COTC, 072,  59N, 1017E,  36, 1004, XX,  34, NEQ, 0069, 0000, 0000, 0063,    0,    0, 060
WP, 23, 2015010106, 03, COTC, 078,  58N, 1007E,  29, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 022
WP, 23, 2015010106, 03, COTC, 084,  55N,  999E,  39, 1004, XX,  34, NEQ, 0018, 0000, 0000, 0027,    0,    0, 017
WP, 23, 2015010106, 03, COTC, 090,  53N,  991E,  46, 1000, XX,  34, NEQ, 0047, 0010, 0012, 0030,    0,    0, 009
WP, 23, 2015010106, 03, COTC, 096,  53N,  987E,  43, 1001, XX,  34, NEQ, 0048, 0029, 0000, 0015,    0,    0, 026
WP, 23, 2015010106, 03, COTC, 102,  55N,  983E,  43,  999, XX,  34, NEQ, 0037, 0016, 0016, 0037,    0,    0, 024
WP, 23, 2015010106, 03, COTC, 108,  56N,  978E,  45, 1002, XX,  34, NEQ, 0030, 0023, 0030, 0035,    0,    0, 010
WP, 23, 2015010106, 03, COTC, 114,  55N,  970E,  48, 1001, XX,  34, NEQ, 0042, 0005, 0023, 0074,    0,    0, 019
WP, 23, 2015010106, 03, COTC, 120,  55N,  962E,  43, 1004, XX,  34, NEQ, 0023, 0009, 0099, 0240,    0,    0, 013
WP, 23, 2015010106, 03, GFDN,   0,  66N, 1188E,  25, 1000
WP, 23, 2015010106, 03, GFDN,   6,  66N, 1186E,  21, 1008
WP, 23, 2015010106, 03, GFDN,  12,  62N, 1185E,  27, 1008
WP, 23, 2015010106, 03, GFDN,  18,  64N, 1152E,  26, 1008
WP, 23, 2015010106, 03, GFDN,  24,  61N, 1147E,  24, 1007
WP, 23, 2015010106, 03, GFDN,  30,  57N, 1131E,  27, 1007
WP, 23, 2015010106, 03, GFDN,  36,  59N, 1109E,  39, 1005
WP, 23, 2015010106, 03, GFDN,  42,  59N, 1092E,  42, 1003
WP, 23, 2015010106, 03, GFDN,  48,  55N, 1074E,  44, 1000
WP, 23, 2015010106, 03, GFDN,  54,  53N, 1063E,  39, 1002
WP, 23, 2015010106, 03, GFDN,  60,  51N, 1047E,  43,  999
WP, 23, 2015010106, 03, GFDN,  66,  50N, 1035E,  44,  998
WP, 23, 2015010106, 03, GFDN,  72,  50N, 1029E,  34, 1002
WP, 23, 2015010106, 03, GFDN,  78,  55N, 1018E,  30, 1003
WP, 23, 2015010106, 03, GFDN,  84,  54N, 1007E,  33, 1004
WP, 23, 2015010106, 03, GFDN,  90,  55N,  999E,  30, 1003
WP, 23, 2015010106, 03, GFDN,  96,  59N,  996E,  33, 1003
WP, 23, 2015010106, 03, GFDN, 102,  63N,  991E,  31, 1002
WP, 23, 2015010106, 03, GFDN, 108,  62N,  989E,  28, 1002
WP, 23, 2015010106, 03, GFDN, 114,  64N,  986E,  39, 1002
WP, 23, 2015010106, 03, GFDN, 120,  68N,  982E,  41, 1000
WP, 23, 2015010106, 03, GFDN, 126,  70N,  978E,  38, 1000
WP, 23, 2015010106, 03, HWRF, 000,  66N, 1187E,  24, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000,  -99,  -99, 142,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,   -9999,   -9999,   -9999, N, 10, DT, -999
WP, 23, 2015010106, 03, HWRF, 001,  59N, 1191E,  20, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000,  -99,  -99, 161,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     -18,     253,    -394, N, 10, DT, -999
WP, 23, 2015010106, 03, NVGM, 000,  65N, 1188E,  24, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 141
WP, 23, 2015010106, 03, NVGM, 006,  60N, 1185E,  27, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 121
WP, 23, 2015010106, 03, NVGM, 012,  59N, 1176E,  29, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 126
WP, 23, 2015010106, 03, NVGM, 018,  61N, 1154E,  30, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 129
WP, 23, 2015010106, 03, NVGM, 024,  63N, 1142E,  31, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 126
WP, 23, 2015010106, 03, NVGM, 030,  65N, 1131E,  31, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 089
WP, 23, 2015010106, 03, NVGM, 036,  67N, 1118E,  32, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 090
WP, 23, 2015010106, 03, NVGM, 042,  68N, 1103E,  31, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 076
WP, 23, 2015010106, 03, NVGM, 048,  66N, 1088E,  34, 1006, XX,  34, NEQ, 0087, 0000, 0000, 0000,    0,    0, 086
WP, 23, 2015010106, 03, NVGM, 054,  62N, 1075E,  32, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 122
WP, 23, 2015010106, 03, NVGM, 060,  60N, 1067E,  28, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 073
WP, 23, 2015010106, 03, NVGM, 066,  61N, 1062E,  28, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 152
WP, 23, 2015010106, 03, NVGM, 072,  63N, 1057E,  25, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 114
WP, 23, 2015010106, 03, NVGM, 078,  64N, 1051E,  25, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 069
WP, 23, 2015010106, 03, NVGM, 084,  65N, 1045E,  28, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 093
WP, 23, 2015010106, 03, NVGM, 090,  67N, 1043E,  27, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 082
WP, 23, 2015010106, 03, NVGM, 096,  68N, 1042E,  26, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 071
WP, 23, 2015010106, 03, NVGM, 102,  70N, 1040E,  27, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 060
WP, 23, 2015010106, 03, NVGM, 108,  71N, 1037E,  28, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 052
WP, 23, 2015010106, 03, NVGM, 114,  73N, 1033E,  27, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 046
WP, 23, 2015010106, 03, NVGM, 120,  74N, 1030E,  28, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 073
WP, 23, 2015010106, 03, NVGM, 126,  75N, 1026E,  29, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 064
WP, 23, 2015010106, 03, NVGM, 132,  76N, 1021E,  28, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 057
WP, 23, 2015010106, 03, NVGM, 138,  77N, 1016E,  31, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 056
WP, 23, 2015010106, 03, NVGM, 144,  77N, 1007E,  26, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 092
WP, 23, 2015010106, 03, NVGM, 150,  78N,  999E,  27, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 080
WP, 23, 2015010106, 03, NVGM, 156,  76N,  987E,  24, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 134
WP, 23, 2015010106, 03, NVGM, 162,  77N,  974E,  24, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 048
WP, 23, 2015010106, 03, NVGM, 168,  79N,  961E,  28, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 072
WP, 23, 2015010106, 03, NVGM, 174,  80N,  948E,  25, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 073
WP, 23, 2015010106, 03, NVGM, 180,  82N,  937E,  26, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 047
WP, 23, 2015010112, 03, COTC, 000,  62N, 1180E,  20, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0350,    0,    0, 051
WP, 23, 2015010112, 03, COTC, 006,  61N, 1172E,  26, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0265,    0,    0, 072
WP, 23, 2015010112, 03, COTC, 012,  62N, 1162E,  39, 1007, XX,  34, NEQ, 0098, 0000, 0184, 0234,    0,    0, 036
WP, 23, 2015010112, 03, COTC, 018,  65N, 1150E,  39, 1007, XX,  34, NEQ, 0094, 0000, 0000, 0000,    0,    0, 089
WP, 23, 2015010112, 03, COTC, 024,  67N, 1140E,  37, 1006, XX,  34, NEQ, 0109, 0000, 0000, 0123,    0,    0, 074
WP, 23, 2015010112, 03, COTC, 030,  70N, 1121E,  36, 1004, XX,  34, NEQ, 0136, 0000, 0000, 0000,    0,    0, 020
WP, 23, 2015010112, 03, COTC, 036,  70N, 1107E,  45, 1003, XX,  34, NEQ, 0176, 0000, 0012, 0116,    0,    0, 072
WP, 23, 2015010112, 03, COTC, 042,  72N, 1093E,  43, 1004, XX,  34, NEQ, 0162, 0000, 0009, 0189,    0,    0, 081
WP, 23, 2015010112, 03, COTC, 048,  71N, 1078E,  55, 1001, XX,  34, NEQ, 0198, 0000, 0032, 0091,    0,    0, 025
WP, 23, 2015010112, 03, COTC, 048,  71N, 1078E,  55, 1001, XX,  50, NEQ, 0000, 0000, 0000, 0032,    0,    0, 025
WP, 23, 2015010112, 03, COTC, 054,  68N, 1062E,  46, 1002, XX,  34, NEQ, 0174, 0000, 0021, 0090,    0,    0, 014
WP, 23, 2015010112, 03, COTC, 060,  62N, 1048E,  39, 1004, XX,  34, NEQ, 0034, 0000, 0011, 0038,    0,    0, 021
WP, 23, 2015010112, 03, COTC, 066,  62N, 1040E,  31, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 020
WP, 23, 2015010112, 03, COTC, 072,  63N, 1029E,  40, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0056,    0,    0, 051
WP, 23, 2015010112, 03, COTC, 078,  61N, 1021E,  33, 1005, XX,  34, NEQ, 0110, 0000, 0000, 0000,    0,    0, 050
WP, 23, 2015010112, 03, COTC, 084,  62N, 1013E,  32, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 065
WP, 23, 2015010112, 03, COTC, 090,  65N, 1003E,  32, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 014
WP, 23, 2015010112, 03, COTC, 096,  64N,  996E,  32, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 027
WP, 23, 2015010112, 03, COTC, 102,  61N,  992E,  44, 1002, XX,  34, NEQ, 0033, 0010, 0031, 0028,    0,    0, 015
WP, 23, 2015010112, 03, COTC, 108,  61N,  987E,  41, 1002, XX,  34, NEQ, 0046, 0037, 0043, 0014,    0,    0, 036
WP, 23, 2015010112, 03, COTC, 114,  64N,  982E,  44, 1001, XX,  34, NEQ, 0042, 0030, 0020, 0227,    0,    0, 022
WP, 23, 2015010112, 03, COTC, 120,  67N,  979E,  51,  996, XX,  34, NEQ, 0075, 0034, 0030, 0263,    0,    0, 016
WP, 23, 2015010112, 03, COTC, 120,  67N,  979E,  51,  996, XX,  50, NEQ, 0016, 0024, 0000, 0000,    0,    0, 016
WP, 23, 2015010112, 03, GFDN,   0,  64N, 1184E,  28, 1001
WP, 23, 2015010112, 03, GFDN,   6,  66N, 1182E,  23, 1008
WP, 23, 2015010112, 03, GFDN,  12,  64N, 1157E,  29, 1007
WP, 23, 2015010112, 03, GFDN,  18,  61N, 1152E,  29, 1004
WP, 23, 2015010112, 03, GFDN,  24,  59N, 1141E,  37, 1003
WP, 23, 2015010112, 03, GFDN,  30,  58N, 1128E,  36, 1004
WP, 23, 2015010112, 03, GFDN,  36,  59N, 1112E,  44, 1000
WP, 23, 2015010112, 03, GFDN,  42,  59N, 1101E,  38, 1000
WP, 23, 2015010112, 03, GFDN,  48,  56N, 1088E,  39, 1002
WP, 23, 2015010112, 03, GFDN,  54,  52N, 1077E,  36, 1001
WP, 23, 2015010112, 03, GFDN,  60,  52N, 1069E,  38, 1000
WP, 23, 2015010112, 03, GFDN,  66,  52N, 1060E,  41,  998
WP, 23, 2015010112, 03, GFDN,  72,  50N, 1055E,  37,  998
WP, 23, 2015010112, 03, GFDN,  78,  49N, 1053E,  35,  999
WP, 23, 2015010112, 03, GFDN,  84,  50N, 1049E,  44,  997
WP, 23, 2015010112, 03, GFDN,  90,  50N, 1046E,  42,  994
WP, 23, 2015010112, 03, GFDN,  96,  49N, 1046E,  39,  995
WP, 23, 2015010112, 03, GFDN, 102,  50N, 1047E,  38,  996
WP, 23, 2015010112, 03, GFDN, 108,  54N, 1046E,  57,  994
WP, 23, 2015010112, 03, GFDN, 114,  54N, 1045E,  34,  997
WP, 23, 2015010112, 03, GFDN, 120,  52N, 1043E,  30,  998
WP, 23, 2015010112, 03, GFDN, 126,  49N, 1043E,  32,  999
WP, 23, 2015010112, 03, HWRF, 000,  66N, 1186E,  24, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000,  -99,  -99, 162,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,   -9999,   -9999,   -9999, N, 10, DT, -999
WP, 23, 2015010112, 03, HWRF, 001,  62N, 1183E,  29, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000,  -99,  -99, 154,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     670,   -9999,   64381, N, 10, DT, -999
WP, 23, 2015010112, 03, HWRF, 002,  67N, 1184E,  34, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000,  -99,  -99,  64,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     467,   -9999,   64055, N, 10, DT, -999
WP, 23, 2015010112, 03, HWRF, 003,  70N, 1181E,  30, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000,  -99,  -99, 156,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,     -12,     143,   -1615, Y, 10, DT, -999
WP, 23, 2015010112, 03, HWRF, 004,  69N, 1174E,  36, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0146,  -99,  -99, 140,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      32,     182,   -1118, N, 10, DT, -999
WP, 23, 2015010112, 03, HWRF, 005,  64N, 1167E,  41, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0169,  -99,  -99, 154,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      28,   -9999,   65109, N, 10, DT, -999
WP, 23, 2015010112, 03, HWRF, 006,  62N, 1164E,  46, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0188,  -99,  -99, 161,   0,   0,    ,   0,    ,   0,   0,           ,  ,   ,    ,   0,   0,   0,   0,       THERMO PARAMS,      22,     -49,    -822, N, 10, DT, -999
WP, 23, 2015010112, 03, NVGM, 000,  63N, 1190E,  23, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 137
WP, 23, 2015010112, 03, NVGM, 006,  59N, 1183E,  29, 1006, XX,  34, NEQ, 0333, 0000, 0000, 0000,    0,    0, 158
WP, 23, 2015010118, 03, NVGM, 000,  58N, 1179E,  26, 1007, XX,  34, NEQ, 0346, 0000, 0000, 0000,    0,    0, 134
WP, 23, 2015010118, 03, NVGM, 006,  55N, 1156E,  32, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 132
WP, 23, 2015010118, 03, NVGM, 012,  55N, 1142E,  31, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 126
WP, 23, 2015010118, 03, NVGM, 018,  59N, 1124E,  29, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 134
WP, 23, 2015010118, 03, NVGM, 024,  60N, 1108E,  28, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 160
WP, 23, 2015010118, 03, NVGM, 030,  57N, 1090E,  29, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 138
WP, 23, 2015010118, 03, NVGM, 036,  54N, 1076E,  27, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 144
WP, 23, 2015010118, 03, NVGM, 042,  49N, 1067E,  25, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 109
WP, 23, 2015010118, 03, NVGM, 048,  47N, 1062E,  24, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 158
WP, 23, 2015010118, 03, NVGM, 054,  46N, 1059E,  24, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 149
WP, 23, 2015010118, 03, NVGM, 060,  45N, 1060E,  23, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 161
WP, 23, 2015010118, 03, NVGM, 066,  45N, 1058E,  21, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 156
WP, 23, 2015010118, 03, NVGM, 072,  48N, 1058E,  21, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 130
WP, 23, 2015010118, 03, NVGM, 078,  51N, 1055E,  20, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 149
WP, 23, 2015010118, 03, NVGM, 084,  52N, 1052E,  18, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 109
WP, 23, 2015010118, 03, NVGM, 090,  51N, 1050E,  19, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 115
WP, 23, 2015010118, 03, NVGM, 096,  51N, 1050E,  17, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 082
WP, 23, 2015010118, 03, NVGM, 102,  51N, 1049E,  18, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 087
WP, 23, 2015010118, 03, NVGM, 108,  48N, 1049E,  20, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 058
WP, 23, 2015010118, 03, NVGM, 114,  43N, 1051E,  21, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 068
WP, 23, 2015010118, 03, NVGM, 120,  36N, 1054E,  23, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 081
WP, 23, 2015010118, 03, NVGM, 126,  30N, 1056E,  19, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 152
WP, 23, 2015010118, 03, NVGM, 132,  20N, 1059E,  20, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 119
WP, 23, 2015010118, 03, NVGM, 138,  11N, 1065E,  24, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 130
WP, 23, 2015010118, 03, NVGM, 144,   1N, 1075E,  26, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 113
WP, 23, 2015100218, 03, COTC, 000, 187N, 1667E,  35,  992, XX,  34, NEQ, 0350, 0213, 0000, 0349,    0,    0, 064
WP, 23, 2015100218, 03, COTC, 006, 192N, 1662E,  36,  992, XX,  34, NEQ, 0281, 0264, 0000, 0326,    0,    0, 095
WP, 23, 2015100218, 03, COTC, 006, 192N, 1662E,  36,  992, XX,  50, NEQ, 0227, 0000, 0000, 0000,    0,    0, 095
WP, 23, 2015100218, 03, COTC, 012, 202N, 1647E,  36,  991, XX,  34, NEQ, 0350, 0288, 0211, 0343,    0,    0, 108
WP, 23, 2015100218, 03, COTC, 012, 202N, 1647E,  36,  991, XX,  50, NEQ, 0000, 0000, 0000, 0135,    0,    0, 108
WP, 23, 2015100218, 03, COTC, 018, 208N, 1631E,  50,  991, XX,  34, NEQ, 0299, 0260, 0234, 0314,    0,    0, 092
WP, 23, 2015100218, 03, COTC, 018, 208N, 1631E,  50,  991, XX,  50, NEQ, 0153, 0000, 0000, 0156,    0,    0, 092
WP, 23, 2015100218, 03, COTC, 024, 201N, 1607E,  46,  988, XX,  34, NEQ, 0350, 0196, 0234, 0307,    0,    0, 100
WP, 23, 2015100218, 03, COTC, 024, 201N, 1607E,  46,  988, XX,  50, NEQ, 0277, 0000, 0000, 0180,    0,    0, 100
WP, 23, 2015100218, 03, COTC, 030, 196N, 1597E,  46,  987, XX,  34, NEQ, 0350, 0164, 0166, 0351,    0,    0, 096
WP, 23, 2015100218, 03, COTC, 030, 196N, 1597E,  46,  987, XX,  50, NEQ, 0220, 0000, 0000, 0234,    0,    0, 096
WP, 23, 2015100218, 03, COTC, 036, 205N, 1578E,  61,  986, XX,  34, NEQ, 0271, 0246, 0181, 0282,    0,    0, 094
WP, 23, 2015100218, 03, COTC, 036, 205N, 1578E,  61,  986, XX,  50, NEQ, 0000, 0000, 0000, 0161,    0,    0, 094
WP, 23, 2015100218, 03, COTC, 042, 206N, 1555E,  70,  986, XX,  34, NEQ, 0349, 0344, 0161, 0307,    0,    0, 077
WP, 23, 2015100218, 03, COTC, 042, 206N, 1555E,  70,  986, XX,  50, NEQ, 0191, 0000, 0000, 0117,    0,    0, 077
WP, 23, 2015100218, 03, COTC, 042, 206N, 1555E,  70,  986, XX,  64, NEQ, 0000, 0000, 0000, 0080,    0,    0, 077
WP, 23, 2015100218, 03, COTC, 048, 204N, 1548E,  55,  982, XX,  34, NEQ, 0350, 0159, 0154, 0315,    0,    0, 107
WP, 23, 2015100218, 03, COTC, 048, 204N, 1548E,  55,  982, XX,  50, NEQ, 0219, 0000, 0000, 0168,    0,    0, 107
WP, 23, 2015100218, 03, COTC, 048, 204N, 1548E,  55,  982, XX,  64, NEQ, 0196, 0000, 0000, 0000,    0,    0, 107
WP, 23, 2015100218, 03, COTC, 054, 215N, 1534E,  57,  979, XX,  34, NEQ, 0349, 0262, 0188, 0228,    0,    0, 065
WP, 23, 2015100218, 03, COTC, 054, 215N, 1534E,  57,  979, XX,  50, NEQ, 0158, 0098, 0095, 0134,    0,    0, 065
WP, 23, 2015100218, 03, COTC, 060, 216N, 1529E,  75,  972, XX,  34, NEQ, 0290, 0242, 0195, 0270,    0,    0, 060
WP, 23, 2015100218, 03, COTC, 060, 216N, 1529E,  75,  972, XX,  50, NEQ, 0163, 0082, 0095, 0115,    0,    0, 060
WP, 23, 2015100218, 03, COTC, 060, 216N, 1529E,  75,  972, XX,  64, NEQ, 0065, 0000, 0000, 0000,    0,    0, 060
WP, 23, 2015100218, 03, COTC, 066, 221N, 1517E,  71,  965, XX,  34, NEQ, 0289, 0227, 0222, 0278,    0,    0, 042
WP, 23, 2015100218, 03, COTC, 066, 221N, 1517E,  71,  965, XX,  50, NEQ, 0183, 0090, 0081, 0156,    0,    0, 042
WP, 23, 2015100218, 03, COTC, 066, 221N, 1517E,  71,  965, XX,  64, NEQ, 0056, 0056, 0000, 0074,    0,    0, 042
WP, 23, 2015100218, 03, COTC, 072, 226N, 1506E,  77,  952, XX,  34, NEQ, 0281, 0254, 0212, 0270,    0,    0, 053
WP, 23, 2015100218, 03, COTC, 072, 226N, 1506E,  77,  952, XX,  50, NEQ, 0146, 0090, 0096, 0171,    0,    0, 053
WP, 23, 2015100218, 03, COTC, 072, 226N, 1506E,  77,  952, XX,  64, NEQ, 0090, 0050, 0053, 0091,    0,    0, 053
WP, 23, 2015100218, 03, COTC, 078, 230N, 1500E,  95,  947, XX,  34, NEQ, 0300, 0298, 0210, 0276,    0,    0, 043
WP, 23, 2015100218, 03, COTC, 078, 230N, 1500E,  95,  947, XX,  50, NEQ, 0175, 0101, 0096, 0128,    0,    0, 043
WP, 23, 2015100218, 03, COTC, 078, 230N, 1500E,  95,  947, XX,  64, NEQ, 0072, 0068, 0062, 0093,    0,    0, 043
WP, 23, 2015100218, 03, COTC, 084, 235N, 1497E,  96,  937, XX,  34, NEQ, 0276, 0288, 0229, 0261,    0,    0, 041
WP, 23, 2015100218, 03, COTC, 084, 235N, 1497E,  96,  937, XX,  50, NEQ, 0109, 0119, 0103, 0122,    0,    0, 041
WP, 23, 2015100218, 03, COTC, 084, 235N, 1497E,  96,  937, XX,  64, NEQ, 0073, 0077, 0066, 0068,    0,    0, 041
WP, 23, 2015100218, 03, COTC, 090, 242N, 1496E, 104,  935, XX,  34, NEQ, 0289, 0266, 0223, 0225,    0,    0, 042
WP, 23, 2015100218, 03, COTC, 090, 242N, 1496E, 104,  935, XX,  50, NEQ, 0159, 0153, 0100, 0111,    0,    0, 042
WP, 23, 2015100218, 03, COTC, 090, 242N, 1496E, 104,  935, XX,  64, NEQ, 0084, 0082, 0064, 0072,    0,    0, 042
WP, 23, 2015100218, 03, COTC, 096, 250N, 1495E, 106,  933, XX,  34, NEQ, 0288, 0249, 0228, 0224,    0,    0, 038
WP, 23, 2015100218, 03, COTC, 096, 250N, 1495E, 106,  933, XX,  50, NEQ, 0160, 0160, 0106, 0092,    0,    0, 038
WP, 23, 2015100218, 03, COTC, 096, 250N, 1495E, 106,  933, XX,  64, NEQ, 0087, 0080, 0063, 0067,    0,    0, 038
WP, 23, 2015100218, 03, COTC, 102, 258N, 1497E, 105,  938, XX,  34, NEQ, 0338, 0271, 0224, 0248,    0,    0, 043
WP, 23, 2015100218, 03, COTC, 102, 258N, 1497E, 105,  938, XX,  50, NEQ, 0182, 0166, 0090, 0090,    0,    0, 043
